# 云笺多音字索引 —— 覆盖闭合检查的候选集来源。
#
# 为什么需要它。破读词表的「覆盖完整」如果拿词表自己当候选集，就是循环论证：漏掉的字
# 既不在词表里、也不在候选集里，检查永远通过。所以候选集必须来自词表之外的独立判据，
# 而那个判据是韵书：**同一个字兼收于多个声部（调类两读）或多个韵部（韵类两读）**，即为
# 本表所收的多音字。往朗读名册加一首诗时，这张表会立刻指出它引入了哪些字还没有处置。
#
# 为什么随仓而不是查库。语料库是 600 MB 级的构建产物，测试不该依赖它是否已构建；而本表
# 是它的一个投影，逐行带出处，体积在百 KB 级。于是覆盖检查在一台既没有模型也没有语料库
# 的机器上仍然成立——与 audio、models 两个模块同一条「判定层不依赖重资源」的原则。
#
# 列：字 <TAB> 兼收
#   兼收   该字在两部韵书里的全部声部与韵部，即它被判为多音字的依据本身。
#
# 全表由下面这条 SQL 自 corpus.db 派生，可逐字复现：
#   SELECT rhyme_book, tone_raw, rhyme_group, character FROM rhyme;
# 底本为 charlesix59/chinese_word_rhyme 锁定版（corpus/sources.toml 记许可与摘要），
# underlying_work 为公有领域的《平水韵》与《词林正韵》（清 戈载，1821）。
#
# 派生时的实测数字与两条取舍，写在这里是因为它们会影响「覆盖完整」这句话的含义：
#   * 韵书共收 CJK 基本区单字若干，其中判为多音的 1815 个：调类两读 1406 个、
#     仅韵类两读 409 个。本表就是这 1815 个。
#   * **只收基本区**（U+4E00–U+9FFF）。另有 156 个基本区外条目（扩展区罕用字如 𫄧、㛀，以及一个全角逗号）被排除——
#     它们是真字，不是垃圾，但朗读名册的正文全部落在基本区，收进来只会让覆盖检查去追一批
#     不会出现的字。名册若将来收入扩展区用字，这一条要一起放宽。
#   * 排除 3 个非字条目：一个空格与一对方括号（另有一个全角逗号落在扩展区那一档里）。
#     **这些是上游韵书 JSON 的解析残留**，与扩展区罕用字性质不同，不该被当成字。
字	兼收
錾	《平水韵》上声部 二十七感、去声部 二十八勘、下平声部 十三覃
鐻	《平水韵》去声部 六御、上声部 六语、上平声部 六鱼
针	《平水韵》下平声部 十二侵、下平声部 十四盐；《词林正韵》平声 第十三部
钉	《平水韵》下平声部 九青、去声部 二十五径；《词林正韵》仄声 第十一部、平声 第十一部
钑	《平水韵》入声部 入声十五合、入声部 入声十四缉
钘	《平水韵》下平声部 一先、下平声部 九青
钞	《平水韵》下平声部 三肴、去声部 十九效；《词林正韵》仄声 第八部、平声 第八部
钱	《平水韵》下平声部 一先、上声部 十六铣；《词林正韵》平声 第七部
钻	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
钿	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
铃	《平水韵》下平声部 九青、下平声部 十四盐；《词林正韵》平声 第十一部
铛	《平水韵》下平声部 七阳、下平声部 八庚；《词林正韵》平声 第二部
铠	《平水韵》去声部 十一队、上平声部 十灰、上声部 十贿；《词林正韵》仄声 第五部
铦	《平水韵》上声部 二十八琰、入声部 入声七曷、下平声部 十四盐
铩	《平水韵》入声部 入声八黠、去声部 十卦；《词林正韵》入声 第十八部
铫	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部、平声 第八部
铲	《平水韵》上声部 十五潸、去声部 十六谏；《词林正韵》仄声 第七部
铺	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》仄声 第四部、平声 第四部
链	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部
锉	《平水韵》去声部 二十一个、下平声部 五歌；《词林正韵》仄声 第九部
锓	《平水韵》上声部 二十六寝、下平声部 十四盐
错	《平水韵》去声部 七遇、入声部 入声十药；《词林正韵》入声 第十六部
锜	《平水韵》上平声部 四支、上声部 四纸
锟	《平水韵》上平声部 十三元、上声部 十三阮
锤	《平水韵》上平声部 十灰、去声部 四寘、上平声部 四支、上声部 四纸；《词林正韵》平声 第三部
锨	《平水韵》下平声部 十五咸、下平声部 十四盐
键	《平水韵》下平声部 一先、上声部 十六铣、去声部 十四愿；《词林正韵》仄声 第七部
锲	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》仄声 第三部、入声 第十八部
锻	《平水韵》下平声部 六麻、去声部 十五翰；《词林正韵》仄声 第七部
锽	《平水韵》下平声部 七阳、下平声部 八庚
锾	《平水韵》去声部 十七霰、上平声部 十五删
镀	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》仄声 第四部
镂	《平水韵》上平声部 七虞、去声部 二十六宥；《词林正韵》仄声 第十二部
镡	《平水韵》去声部 二十七沁、下平声部 十三覃、下平声部 十二侵
镣	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部
镯	《平水韵》入声部 入声三觉、入声部 入声二沃；《词林正韵》入声 第十六部
镵	《平水韵》去声部 三十陷、下平声部 十五咸
长	《平水韵》下平声部 七阳、去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部、平声 第二部
閜	《平水韵》上声部 二十一马、上声部 二十哿
闪	《平水韵》去声部 二十九艳、上声部 二十八琰；《词林正韵》仄声 第十四部
闭	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》仄声 第三部
间	《平水韵》上平声部 十五删、去声部 十六谏；《词林正韵》仄声 第七部、平声 第七部
闻	《平水韵》去声部 十三问、上平声部 十二文；《词林正韵》仄声 第六部、平声 第六部
阁	《平水韵》入声部 入声十五合、入声部 入声十药；《词林正韵》入声 第十九部、入声 第十六部
阂	《平水韵》去声部 十一队、上声部 十贿
阄	《平水韵》上声部 二十五有、下平声部 十一尤；《词林正韵》平声 第十二部
阆	《平水韵》下平声部 七阳、去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
阇	《平水韵》上平声部 七虞、下平声部 六麻
阉	《平水韵》上声部 二十八琰、下平声部 十四盐；《词林正韵》平声 第十四部
阏	《平水韵》入声部 入声七曷、入声部 入声六月
阗	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》平声 第七部
阚	《平水韵》去声部 三十陷、上声部 二十九豏、去声部 二十八勘
阜	《平水韵》去声部 七遇、上声部 二十五有；《词林正韵》仄声 第十二部、仄声 第四部
阪	《平水韵》上声部 十三阮、上声部 十五潸；《词林正韵》仄声 第七部
阮	《平水韵》上平声部 十三元、上声部 十三阮；《词林正韵》仄声 第七部
防	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
陂	《平水韵》下平声部 五歌、去声部 四寘、上平声部 四支；《词林正韵》平声 第三部、平声 第九部
陆	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》入声 第十五部
陉	《平水韵》下平声部 九青、去声部 二十五径；《词林正韵》平声 第十一部
陌	《平水韵》入声部 入声十一陌、入声部 入声十药；《词林正韵》入声 第十七部、入声 第十六部
降	《平水韵》上平声部 三江、去声部 三绛；《词林正韵》仄声 第二部、平声 第二部
除	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》平声 第四部
陶	《平水韵》下平声部 二萧、下平声部 四豪；《词林正韵》平声 第八部
隐	《平水韵》去声部 十三问、上声部 十二吻；《词林正韵》仄声 第六部
隗	《平水韵》上平声部 十灰、上声部 十贿、上平声部 四支
障	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部
难	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
集	《平水韵》入声部 入声十四缉；《词林正韵》平声 第十一部、入声 第十七部
雇	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
雉	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
雍	《平水韵》上平声部 二冬、去声部 二宋；《词林正韵》平声 第一部
雎	《平水韵》上平声部 六鱼、上平声部 四支
雨	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
零	《平水韵》下平声部 一先、下平声部 九青；《词林正韵》平声 第十一部
雹	《平水韵》入声部 入声三觉、入声部 入声二沃；《词林正韵》入声 第十六部
雺	《平水韵》上平声部 一东、去声部 二十六宥、去声部 二宋
霅	《平水韵》入声部 入声十七洽、入声部 入声十六叶
霉	《平水韵》去声部 十一队、上平声部 四支；《词林正韵》平声 第三部
霎	《平水韵》入声部 入声十七洽、入声部 入声十六叶；《词林正韵》入声 第十八部
霓	《平水韵》入声部 入声九屑、入声部 入声十二锡、去声部 八霁、上平声部 八齐；《词林正韵》平声 第三部、入声 第十八部
霸	《平水韵》去声部 二十二祃、入声部 入声十一陌；《词林正韵》仄声 第十部
霹	《平水韵》入声部 入声十一陌、入声部 入声十二锡；《词林正韵》入声 第十七部
靓	《平水韵》上声部 二十三梗、去声部 二十四敬；《词林正韵》仄声 第十一部
靥	《平水韵》上声部 二十八琰、入声部 入声十六叶；《词林正韵》入声 第十八部
靬	《平水韵》上平声部 十三元、上平声部 十五删
靴	《平水韵》上声部 五尾、下平声部 六麻；《词林正韵》平声 第九部
靷	《平水韵》上声部 十一轸、去声部 十二震
靸	《平水韵》入声部 入声十五合、入声部 入声十四缉
鞄	《平水韵》下平声部 三肴、入声部 入声二沃、去声部 十九效
鞅	《平水韵》下平声部 七阳、上声部 二十二养；《词林正韵》平声 第二部
鞘	《平水韵》下平声部 三肴、去声部 十八啸；《词林正韵》仄声 第八部、平声 第八部
鞣	《平水韵》去声部 二十六宥、下平声部 十一尤
鞬	《平水韵》上平声部 十三元、上声部 十六铣
鞲	《平水韵》去声部 二十六宥、下平声部 十一尤
韐	《平水韵》入声部 入声十七洽、入声部 入声十五合
韬	《平水韵》去声部 二十号、下平声部 四豪；《词林正韵》平声 第八部
韽	《平水韵》去声部 三十陷、下平声部 十三覃
顷	《平水韵》上声部 二十三梗、下平声部 八庚；《词林正韵》仄声 第十一部
顸	《平水韵》去声部 十五翰、上平声部 十四寒
颁	《平水韵》上平声部 十二文、上平声部 十五删；《词林正韵》平声 第七部
颃	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部
颇	《平水韵》去声部 二十一个、上声部 二十哿、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
颉	《平水韵》入声部 入声九屑、入声部 入声八黠；《词林正韵》入声 第十八部
颏	《平水韵》上平声部 十灰、上声部 十贿
颓	《平水韵》入声部 入声一屋、上平声部 十灰；《词林正韵》平声 第三部
颔	《平水韵》上声部 二十七感、下平声部 十三覃；《词林正韵》仄声 第十四部、平声 第十四部
题	《平水韵》去声部 八霁、上平声部 八齐；《词林正韵》平声 第三部
颤	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
飂	《平水韵》去声部 二十六宥、下平声部 二萧、下平声部 十一尤
飏	《平水韵》下平声部 七阳、去声部 二十三漾
飑	《平水韵》下平声部 三肴、入声部 入声三觉
食	《平水韵》入声部 入声十三职、去声部 四寘；《词林正韵》入声 第十七部
餂	《平水韵》上声部 二十八琰、下平声部 十四盐
餍	《平水韵》去声部 二十九艳、下平声部 十四盐
餟	《平水韵》入声部 入声九屑、去声部 八霁
餮	《平水韵》入声部 入声九屑、上声部 十六铣；《词林正韵》入声 第十八部
餲	《平水韵》入声部 入声七曷、去声部 八霁、去声部 十卦
饥	《平水韵》上平声部 五微、上平声部 四支；《词林正韵》平声 第三部
饧	《平水韵》下平声部 七阳、下平声部 八庚
饭	《平水韵》上声部 十三阮、去声部 十四愿；《词林正韵》仄声 第七部
饮	《平水韵》去声部 二十七沁、上声部 二十六寝；《词林正韵》仄声 第十三部
饯	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
饶	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》平声 第八部
饷	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
馆	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
馔	《平水韵》去声部 十七霰、上声部 十五潸；《词林正韵》仄声 第七部
首	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
馗	《平水韵》下平声部 十一尤、上平声部 四支
馣	《平水韵》上声部 二十七感、下平声部 十三覃
馥	《平水韵》入声部 入声一屋；《词林正韵》入声 第十五部、入声 第十八部
馵	《平水韵》去声部 七遇、入声部 入声十四缉
馻	《平水韵》上声部 十一轸、上声部 十六铣
駣	《平水韵》上声部 十七筱、上声部 十九皓
騩	《平水韵》上平声部 五微、上平声部 四支
驙	《平水韵》下平声部 一先、上平声部 十四寒
驮	《平水韵》去声部 二十一个、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
驱	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》平声 第四部
驵	《平水韵》上声部 二十二养、上平声部 六鱼
驶	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
驺	《平水韵》上平声部 七虞、下平声部 十一尤；《词林正韵》平声 第十二部
骀	《平水韵》上平声部 十灰、上声部 十贿；《词林正韵》平声 第五部
骊	《平水韵》上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部
骑	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》仄声 第三部、平声 第三部
骜	《平水韵》去声部 二十号、下平声部 四豪
骞	《平水韵》下平声部 一先、上平声部 十三元；《词林正韵》平声 第七部
骭	《平水韵》去声部 十五翰、去声部 十六谏
骰	《平水韵》入声部 入声一屋、下平声部 十一尤；《词林正韵》平声 第十二部
骴	《平水韵》去声部 四寘、上平声部 四支
髀	《平水韵》上声部 八荠、上声部 四纸
髁	《平水韵》去声部 二十一个、上声部 二十一马、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
髟	《平水韵》下平声部 二萧、下平声部 十一尤、下平声部 十五咸
髯	《平水韵》去声部 二十九艳、下平声部 十四盐；《词林正韵》平声 第十四部
鬃	《平水韵》上平声部 一东、上平声部 二冬
鬋	《平水韵》下平声部 一先、去声部 十七霰、上声部 十六铣
鬒	《平水韵》上声部 十一轸、去声部 十二震
鬲	《平水韵》入声部 入声十一陌、入声部 入声十二锡；《词林正韵》入声 第十七部
鬷	《平水韵》上平声部 一东、上声部 一董
魄	《平水韵》入声部 入声十一陌、入声部 入声十药；《词林正韵》入声 第十七部、入声 第十六部
魇	《平水韵》上声部 二十八琰、入声部 入声十六叶
鱄	《平水韵》下平声部 一先、上声部 十六铣、上平声部 十四寒
鲑	《平水韵》上平声部 九佳、上声部 二十一马、上平声部 八齐
鲖	《平水韵》上平声部 一东、上声部 二肿
鲜	《平水韵》下平声部 一先、上声部 十六铣；《词林正韵》仄声 第七部、平声 第七部
鲫	《平水韵》入声部 入声九屑、入声部 入声十一陌、入声部 入声十三职；《词林正韵》入声 第十七部
鲰	《平水韵》上声部 二十五有、下平声部 十一尤
鲽	《平水韵》入声部 入声十七洽、入声部 入声十六叶；《词林正韵》入声 第十八部
鳆	《平水韵》入声部 入声一屋、入声部 入声三觉
鳜	《平水韵》入声部 入声六月、去声部 八霁；《词林正韵》仄声 第三部、入声 第十八部
鳣	《平水韵》下平声部 一先、上平声部 十四寒
鵀	《平水韵》去声部 二十七沁、下平声部 十二侵
鵌	《平水韵》上平声部 七虞、上平声部 六鱼
鵽	《平水韵》入声部 入声七曷、入声部 入声八黠
鷩	《平水韵》入声部 入声九屑、去声部 八霁
鷷	《平水韵》上平声部 十一真、上平声部 十三元
鸩	《平水韵》去声部 二十七沁、去声部 二十八勘、下平声部 十三覃；《词林正韵》仄声 第十三部
鸹	《平水韵》入声部 入声七曷、入声部 入声八黠；《词林正韵》入声 第十八部
鸼	《平水韵》下平声部 三肴、下平声部 十一尤
鹂	《平水韵》上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部
鹗	《平水韵》下平声部 二萧、入声部 入声十药
鹘	《平水韵》入声部 入声八黠、入声部 入声六月；《词林正韵》入声 第十八部
鹜	《平水韵》去声部 七遇、入声部 入声一屋；《词林正韵》仄声 第四部
鹞	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部、平声 第八部
鹩	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部、平声 第八部
鹾	《平水韵》下平声部 五歌、上平声部 四支
麃	《平水韵》下平声部 三肴、下平声部 二萧、上声部 十七筱
麌	《平水韵》上平声部 七虞、上声部 七麌；《词林正韵》仄声 第四部
黂	《平水韵》去声部 五未、上平声部 十二文
黔	《平水韵》下平声部 十二侵、下平声部 十四盐；《词林正韵》平声 第十三部、平声 第十四部
黚	《平水韵》去声部 二十八勘、下平声部 十四盐
黤	《平水韵》上声部 二十七感、上声部 二十九豏
黧	《平水韵》上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部
黮	《平水韵》上声部 二十七感、上声部 二十六寝
黾	《平水韵》上声部 二十三梗、上声部 十一轸、上声部 十六铣；《词林正韵》仄声 第六部
鼐	《平水韵》去声部 十一队、上声部 十贿；《词林正韵》仄声 第五部
鼢	《平水韵》上声部 十二吻、上平声部 十二文
齐	《平水韵》去声部 八霁、上平声部 八齐；《词林正韵》平声 第三部
齾	《平水韵》入声部 入声七曷、入声部 入声八黠
龀	《平水韵》上声部 十二吻、去声部 十二震；《词林正韵》仄声 第六部
龂	《平水韵》上平声部 十一真、上平声部 十二文
龉	《平水韵》上平声部 七虞、上声部 六语、上平声部 六鱼；《词林正韵》平声 第四部
龋	《平水韵》上平声部 七虞、上声部 七麌
龙	《平水韵》上平声部 二冬、入声部 入声十四缉；《词林正韵》平声 第一部
龟	《平水韵》下平声部 十一尤、上平声部 四支；《词林正韵》平声 第三部
